hero,winner,kills,deaths,assists
24,False,6,2,13
19,False,8,7,3
79,False,2,6,12
91,True,14,0,6
73,True,2,0,7
83,True,3,0,8
105,True,1,1,11
59,True,7,0,10
39,False,1,3,0
5,False,0,10,1
99,False,0,3,1
44,False,0,4,1
19,False,0,7,0
29,False,0,5,0
71,False,0,3,1
59,False,2,6,1
108,False,0,7,1
22,False,1,4,1
54,True,9,0,8
52,True,2,0,16
95,True,0,1,2
41,True,13,2,6
75,True,1,0,16
58,False,0,4,2
107,False,0,4,0
83,False,1,5,0
105,False,0,4,0
108,False,1,7,0
43,True,10,2,9
18,True,1,0,13
56,True,6,0,9
76,True,5,0,6
16,True,0,0,6
90,False,1,2,3
